id,source,A,B,better (A/B/tie)
1,"Loop after Loop, your dedication carves the key to success.","Повторението след повторението, твоят упор върху успеха е ключът.","Колкото и да се въртиш, твоят упор във въртенето е ключът към успеха.",A
2,Fourth Fourth,Четвърти Четвърти,Четвърти Четвърти,TIE
3,Our app is on a digital diet. No new bytes allowed.,Нашето приложение е на диета. Нови байтове не са позволени.,Няма налични обновки. Нашето приложение е на диета. Не са позволени нови байтове.,A
4,This will reset all keybinds to their original defaults.,Това ще върне всички към основните им настройки.,Това ще презапише всички къмпани към техните оригинален подразделения.,A
5,Bottom Screen,Долнъ екран,Долното екранче,B
6,Color,Цвет,Цвет,TIE
7,Right Cycle,Десен цикъл,Цикъл надясно,B
8,Customize what this action cycles through.,Предпазете какво това действие преминава през цикъл.,Предпазете какво това действие преминава през цикъл.,TIE
9,Move to Applications Folder?,Преместване в папката „Приложения“?,Миниатюра: Преместете в папката с приложения?,A
10,Shift focus when stashed,Премини към фокус при скриване,Премини фокус при скриване,B
11,Cancel,Отказ,Отказ,TIE
12,Radial menu,Меню в кръг,Радиален меню,A
13,Rosé Pine,"Имаше вече 25 повторения! За награда, тук е нов икон: \(.init(localized: .init(""Icon Name: Holo"", defaultValue: ""Holo""))). Продължи да повтаряш, за да разкриеш нови икони!",Икона: Име: Rosé Pine,A
14,Bottom,Долу,Дъно,B
15,Cursor,Курсор,Курсор,TIE
16,A penny for your… lack of updates.,Една пени за вашето… липсване на обновления.,Един пени за вашето… липсване на обновления.,B
17,The Force is strong with this version!,Силата е силна с тази версия!,Силата е силна с тази версия!,TIE
18,Clear Keybind,Изчисти привързаната клавиша,Премахни привързване,B
19,Initial Frame,Изходна рамка,Изходна рамка,TIE
20,Customize this action's custom frame.,Повторете тази дейност с персонализирана рамка.,Премахнете тази дейност и настроете кадъра си.,A
21,Second Fourth,Втори четвъртка,Втори Четвърти,B
22,Sweet dreams are made of… no updates,Сладки съни са направени от… няма актуализации,Сладни съни са направени от… без актуализации,B
23,Cancel Update,Отказ от обновлението,Отказ от обновлението,A
24,Accent Color,Цвет на акцент,Цвет акцента,B
25,Export,Износете,Износ,B
26,You've unlocked a new icon: %@!,Потърсихте нов иконичен знак: %@!,Вие сте разказали нов икон: %@!,A
27,Suppress Mission Control,Изключване на Мисън Контрол,Изключване на Мисиън Контрол,B
28,Supports macOS Tahoe’s Liquid Glass effects,Поддържа ефектите Liquid Glass на macOS Tahoe,Поддържа ефектите Liquid Glass на macOS Tahoe,TIE
29,Center,Център,Център,TIE
30,Preview,Преглед,Преглед,A
